year,touches-mean,touches-std,net%-mean,net%-std,ny/a-mean,ny/a-std,ypc-mean,ypc-std,td:touch-mean,td:touch-std,to:touch-mean,to:touch-std
2004,31.866666666666667,10.502878070376424,0.5640895055544112,0.15803770162327116,6.6156691486303725,2.663458885388517,2.496678424456202,3.7472589198477655,0.05171409597399275,0.042364041128639854,0.02943447284124154,0.04932127988457989
2005,32.053892215568865,12.649709499512133,0.5565102369768535,0.1652122212733674,6.264682638461614,2.9932098211129765,2.6872894902835025,3.8340440434143717,0.043115907817125904,0.0358033300289154,0.026112446103588174,0.03201420376864359
2006,33.75247524752475,11.620796198644436,0.5470007571811163,0.1608785768398281,6.130195074679776,2.658601394263026,2.3341646664666467,3.881717964812566,0.043018475561668434,0.04727520166152928,0.025002542817587202,0.03039505255142722
2007,35.005,11.575618763104789,0.6025426026317535,0.1437630341076437,6.6287982223567266,2.4748192242703344,2.2855000000000003,3.7956995082749767,0.05212259028035891,0.04880066949528687,0.027099496856169924,0.042883911778733956
2008,36.620535714285715,9.223859083558121,0.5972872116439423,0.1055254719627566,6.6356509797059475,2.0453669736810736,2.4347942112451046,4.1394923118778255,0.04230890991866298,0.032523535779016705,0.038908052270616895,0.03508424967411596
2009,35.85616438356164,11.076112637028523,0.5849981433720954,0.1483048993169571,6.607705080353889,2.7902347199429403,2.4084841813437707,3.7261430167625478,0.04759589222865227,0.043011572017897695,0.03441488774725345,0.03210864164028682
2010,37.83150183150183,9.925873995495065,0.5960726326755676,0.09985670940986316,6.652326366120439,1.993226328997098,2.6953448667734388,3.8546668929975847,0.04922144189800114,0.03686193720306115,0.03899167352316358,0.06808170284429575
2011,38.89310344827586,9.482032947252968,0.5923463102992809,0.10060608410977434,7.021443874381648,2.0076560233100005,2.783330347813106,3.887791329627589,0.04927185945138092,0.036045731177710295,0.032650128302542984,0.0298665126962046
2012,39.1125,10.32997130731889,0.5943704199198976,0.10251851211779313,6.590404013570437,1.808701952046823,2.7732870948495947,3.7120431448035363,0.046778009760760485,0.03501961502584599,0.03160099969732457,0.03151691099085329
2013,39.671140939597315,10.7163885023014,0.5894640647796856,0.10654661602403882,6.600504658486406,2.0449266715259418,2.8893559740036263,4.089713440316537,0.04544833831992687,0.033820842694422995,0.03488786103384568,0.03295585381516837
2014,38.059233449477354,10.771951571980216,0.5996372153975104,0.13068280854006878,6.622984201936739,2.1486018195544085,2.956330972891744,3.769804229078345,0.047807836813579065,0.037506997360575785,0.037645464124837276,0.12051759798336162
2015,39.79136690647482,10.226302055019168,0.6050284546222151,0.09798670644721537,6.742302171203272,1.9511364803757747,3.072033801530205,3.931697597872726,0.04666884718351713,0.034221848543518486,0.031281342328628975,0.03345205710352796
2016,39.52066115702479,10.38279711395755,0.6011341348363519,0.11806309219002091,6.719234134143255,1.935710320291491,2.613162319773891,3.6323132128573334,0.044946089041629694,0.035880127609789134,0.030177709155037254,0.0306530135657291
2017,38.724444444444444,9.647565282132886,0.5974686232966474,0.10248744230114215,6.3947024337764455,1.9041846752413623,2.9180955587622264,5.817305556721199,0.04299921471868809,0.02912288076324599,0.03062149829904894,0.03541162972407923
2018,38.92462311557789,10.659057263716159,0.6211712219127568,0.10420107484150114,6.763276490831679,2.1179073253038094,3.057535847736852,3.9258239597819604,0.04985215252597519,0.03600687515873858,0.03202856099008591,0.07392055322183669
2019,39.78260869565217,11.570588430328034,0.6221883832649195,0.10872617565043421,6.869714081407571,2.0719330341977584,2.579043018173453,3.3547903176438347,0.04173040226312136,0.036767987149250524,0.033036162698475174,0.033709435973103156
